city,type,bed,bath,garage,sqft,pool,price,log_price,log_sqft,garage_num,garage_cat
Long Beach,NA,0,1,0,513,NA,119000,11.6868787720937,6.24027584517077,0,none
Long Beach,NA,0,1,0,550,NA,153000,11.9381932003746,6.30991827822652,0,none
Long Beach,NA,0,1,0,550,NA,205000,12.2307652581205,6.30991827822652,0,none
Long Beach,NA,0,1,1,1030,NA,3E+05,12.6115377536383,6.93731408122368,1,small
Long Beach,NA,0,1,1,1526,NA,375000,12.8346813049525,7.3304052118444,1,small
Long Beach,NA,1,1,0,552,NA,159900,11.982303898822,6.3135480462771,0,none
Long Beach,NA,1,1,0,558,NA,135000,11.8130300574206,6.32435896238131,0,none
Long Beach,NA,1,1,0,596,NA,105000,11.5617156291397,6.39024066706535,0,none
Long Beach,NA,1,1,0,744,NA,167000,12.0257490913989,6.61204103483309,0,none
Long Beach,NA,1,1,0,750,NA,134900,11.8122890421958,6.62007320653036,0,none
Long Beach,NA,1,1,0,750,NA,145000,11.8844890214027,6.62007320653036,0,none
Long Beach,NA,1,1,0,791,NA,219900,12.3009281765429,6.67329796776765,0,none
Long Beach,NA,1,1,0,798,NA,195000,12.1807548375459,6.68210859744981,0,none
Long Beach,NA,1,1,1,671,NA,120000,11.6952470217642,6.50876913697168,1,small
Long Beach,NA,1,1,1,796,NA,179900,12.1001564199386,6.67959918584438,1,small
Long Beach,NA,1,1,1,935,NA,239000,12.3842188309136,6.84054652928869,1,small
Long Beach,NA,1,1,1,1006,NA,360000,12.7938593104323,6.91373735065968,1,small
Long Beach,NA,1,1,1,1431,NA,5E+05,13.1223633774043,7.26612877955645,1,small
Long Beach,NA,1,1,2,926,NA,339000,12.7337553863626,6.83087423464618,2,large
Long Beach,NA,1,1,2,1209,NA,580000,13.2707833825226,7.09754885061479,2,large
Long Beach,NA,1,1,2,1620,NA,419900,12.9477718666723,7.39018142822643,2,large
Long Beach,NA,1,1,2,1924,NA,394900,12.8863878472747,7.56216163122565,2,large
Long Beach,NA,1,1,2,1970,NA,619000,13.3358605516667,7.58578882173203,2,large
Long Beach,NA,1,2,1,1310,NA,359900,12.7935814940671,7.1777824161952,1,small
Long Beach,NA,1,2,1,1450,NA,325000,12.6915804613119,7.27931883541462,1,small
Long Beach,NA,1,2,1,1450,NA,329900,12.7065448572167,7.27931883541462,1,small
Long Beach,NA,1,2,2,1077,NA,325000,12.6915804613119,6.98193467715639,2,large
Long Beach,NA,2,1,0,1133,NA,325000,12.6915804613119,7.03262426102801,0,none
Long Beach,NA,2,1,0,2374,NA,799000,13.5911162247484,7.77233157516961,0,none
Long Beach,NA,2,1,2,1620,NA,418000,12.9432367115069,7.39018142822643,2,large
Long Beach,NA,2,1,2,2019,NA,420000,12.9480099902596,7.61035761831284,2,large
Long Beach,NA,2,2,1,868,NA,240000,12.3883942023241,6.76619171466035,1,small
Long Beach,NA,2,2,1,1050,NA,318800,12.6723192258982,6.95654544315157,1,small
Long Beach,NA,2,2,1,1241,NA,299500,12.6098696965376,7.12367278520461,1,small
Long Beach,NA,4,4,0,3636,NA,349900,12.7654026783558,8.19863945529737,0,none
Long Beach,NA,6,3,0,2554,NA,379900,12.8476633391757,7.84541603659248,0,none
Long Beach,Condo/Twh,0,1,0,462,NA,138900,11.8415095287424,6.13556489108174,0,none
Long Beach,Condo/Twh,0,1,0,475,NA,120000,11.6952470217642,6.16331480403464,0,none
Long Beach,Condo/Twh,0,1,0,527,NA,179000,12.0951410848229,6.26720054854136,0,none
Long Beach,Condo/Twh,0,1,0,702,NA,236900,12.3753933901469,6.55393340402581,0,none
Long Beach,Condo/Twh,0,1,2,650,NA,217900,12.2917915209327,6.47697236288968,2,large
Long Beach,Condo/Twh,1,1,0,403,NA,139950,11.8490404949436,5.99893656194668,0,none
Long Beach,Condo/Twh,1,1,0,426,NA,135000,11.8130300574206,6.05443934626937,0,none
Long Beach,Condo/Twh,1,1,0,560,NA,135000,11.8130300574206,6.3279367837292,0,none
Long Beach,Condo/Twh,1,1,0,561,NA,273500,12.5190569008442,6.3297209055227,0,none
Long Beach,Condo/Twh,1,1,0,590,NA,215000,12.2783933071098,6.38012253689976,0,none
Long Beach,Condo/Twh,1,1,0,590,NA,259900,12.4680522206296,6.38012253689976,0,none
Long Beach,Condo/Twh,1,1,0,597,NA,130000,11.7752897294377,6.3919171133926,0,none
Long Beach,Condo/Twh,1,1,0,599,NA,350000,12.7656884334656,6.39526159811545,0,none
Long Beach,Condo/Twh,1,1,0,600,NA,183900,12.1221474105924,6.39692965521615,0,none
